entity	wikidata_id	occupation	gender	place_type	location	distance_from_trieste	nationality
Silvio Berlusconi	Q11860	politician	male	na	na	
Barack Obama	Q76	politician	male	na	na	
Hillary Clinton	Q6294	politician	female	na	na
Vladimir Putin	Q7747	politician	male	na	na
Sigmund Freud	Q9215	writer	male	na	na
J.K. Rowling	Q34660	writer	female	na	na
Ernest Hemingway	Q23434	writer	male	na	na
William Shakespeare	Q692	writer	male	na	na
Freddie Mercury	Q15869	musician	male	na	na
Bob Dylan	Q392	musician	male	na	na
Madonna	Q1744	musician	female	na	na
Wolfgang Amadeus Mozart	Q254	musician	male	na	na
Quentin Tarantino	Q3772	actor	male	na	na
Scarlett Johansson	Q34436	actor	female	na	na
Marylin Monroe	Q4616	actor	female	na	na
Woody Allen	Q25089	actor	male	na	na
Britney Spears	Q11975	musician	female	na	na
Robert De Niro	Q36949	musician	male	na	na
Spagna	Q29	na	na	country	na
Israele	Q801	na	na	country	na
Germania	Q183	na	na	country	na	
Regno Unito	Q145	na	na	country	na
Roma	Q220	na	na	city	na
Parigi	Q90	na	na	city	na
New York	Q60	na	na	city	na
Amsterdam	Q727	na	na	city	na
Mar Mediterraneo	Q4918	na	na	body_of_water	na
Oceano Atlantico	Q97	na	na	body_of_water	na
Nilo	Q3392
Oceano Pacifico	Q98
Torre di Pisa	Q39054
Stonehenge	Q39671
Sagrada Familia	Q48435
Macchu Picchu	Q676203
Machu Picchu	Q676203
Sud Africa	Q258
Rio De Janeiro	Q8678
Cascate del Niagara	Q34221
Mar dei Caraibi	Q1247
Muraglia Cinese	Q12501
Piramidi di Giza	Q37200
Canada	Q16
